iter	Passed	Remaining
0	39	1139
1	68	955
2	125	1128
3	235	1530
4	255	1278
5	277	1109
6	300	986
7	319	877
8	337	787
9	355	711
10	373	645
11	394	591
12	415	542
13	452	517
14	491	491
15	532	466
16	572	437
17	608	405
18	657	380
19	694	347
20	732	313
21	751	273
22	769	234
23	787	196
24	811	162
25	848	130
26	874	97
27	900	64
28	934	32
29	970	0
